,CASEID,SURV_LANG,FITIN,FRIEND1,FRIEND2,FRIEND3,FRIEND4_1,FRIEND4_2,FRIEND4_3,FRIEND4_4,FRIEND4_5,FRIEND4_6,FRIEND5,FRIEND6_1,FRIEND6_2,FRIEND6_3,FRIEND6_4,FRIEND6_5,FRIEND6_6,FRIEND6_7,DEVICEA,DEVICEB,DEVICEC,DEVICED,HOMEWORKA,HOMEWORKB,HOMEWORKC,INTREQ,GAMING,SNS1_1,SNS1_2,SNS1_3,SNS1_4,SNS1_5,SNS1_6,SNS1_7,SNS1_8,SNS2,SOC1,SOC1A_GOOD_1,SOC1A_GOOD_2,SOC1A_GOOD_3,SOC1A_GOOD_4,SOC1A_GOOD_5,SOC1A_GOOD_6,SOC1A_GOOD_7,SOC1A_BAD_1,SOC1A_BAD_2,SOC1A_BAD_3,SOC1A_BAD_4,SOC1A_BAD_5,SOC1A_BAD_6,SOC1A_BAD_7,SOC1A_OTHER,SOC1A_DK_REF,POST1A,POST1B,POST1C,POST1D,POST1E,POST2_1,POST2_2,POST2_3,POST2_4,POST2_5,POST2_6,POST2_7,POST2_8,SOC2POSA,SOC2POSB,SOC2POSC,SOC2POSD,SOC2NEGA,SOC2NEGB,SOC2NEGC,SOC2NEGD,SOC4A,SOC4B,SOC4C,SOC4D,SOC5A,SOC5B,SOC5C,SOC6,SOC7_1,SOC7_2,SOC7_3,SOC7_4,SOC7_5,SOC7_6,SOCEXPA,SOCEXPB,SOCEXPC,SOCEXPD,WORRYA,WORRYB,WORRYC,LIMITA,LIMITB,LIMITC,CELL1_1,CELL1_2,CELL1_3,CELL1_4,CELL1_5,CELL1_6,CELL2A,CELL2B,CELL2C,CELL2D,CELL3A,CELL3B,CELL3C,DISTRACT,GROUP1,GROUP2_1,GROUP2_2,GROUP2_3,GROUP2_4,GROUP2_5,GROUP2_6,GROUP2_7,GROUP2_8,GROUP2_9,GROUP2_10,GROUP2_11,GROUP3A,GROUP3B,GROUP3C,GROUP3D,OH1A,OH1B,OH1C,OH1D,OH2A,OH2B,OH2C,OH2D,OH2E,OH2F,OH3_1,OH3_2,OH3_3,OH3_4,OH3_5,OH3_6,OH3_7,GUN1,GUN2A,GUN2B,GUN2C,GUN2D,GUN2E,GENDER,AGE,P_EDUC,RACETHNICITY,HOME_TYPE,HOUSING,INCOME,INTERNET,PHONESERVICE,METRO,REGION4,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV,CO_DATE,DURATION,SURV_MODE,MODE_END,DEVICE,WEIGHT
35,111,,1,4,1,3,0,0,1,1,1,0,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,2,1,1,4,3,4,1,1,1,1,1,1,1,0,0,0,4.0,1,1.0,,,,,,,,,,,,,,,,3,3.0,3.0,2.0,3.0,0,0,0,0,0,0,0,1,3,3,1,3,3,3,3.0,3,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,2,3,3,3,1,1,1,1,1,1.0,1,0,1,0,0,0,1,2,1,3,3.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1,2,1,2,4,4,4,4,4,4,0,0,0,0,1,0,0,2,2,2,4,1,3,1.0,15,13.0,1.0,1,1,13,1,4,0,2,3,0,0,0,1,2,20180322,10.65,2,2,,0.377291461
36,118,,2,1,1,3,0,1,1,0,0,0,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,4,4,3,2,1,0,1,1,1,1,0,0,0,4.0,77,,,,,,,,,,,,,,,,,3,3.0,2.0,3.0,4.0,1,0,1,0,0,1,0,0,3,3,2,2,3,3,3.0,2,2.0,2.0,2.0,1.0,3,3,4,2,0.0,0.0,0.0,0.0,0.0,1.0,3,3,3,2,2,1,2,2,1,2.0,0,1,0,0,0,0,2,2,1,2,2.0,1.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,1,2,3,2,4,4,3,4,4,4,1,0,1,0,0,0,0,3,3,3,2,3,2,2.0,14,12.0,1.0,1,1,7,1,3,0,2,6,1,1,3,0,2,20180322,37.11666667,1,1,,1.225570794
37,120,,1,2,1,2,0,1,1,1,1,0,3,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,1,4,3,4,1,1,0,1,0,1,1,0,0,0,4.0,1,,,1.0,,,,,,,,,,,,,,3,3.0,2.0,2.0,4.0,1,0,1,0,0,0,0,0,2,2,1,1,3,2,2.0,3,1.0,1.0,2.0,1.0,4,4,4,4,,,,,,,1,2,1,1,3,3,3,2,2,2.0,0,0,0,0,0,1,1,1,1,2,3.0,2.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,1,2,1,2,2,4,3,2,2,3,0,0,0,0,0,0,1,3,2,2,4,2,3,2.0,15,9.0,1.0,1,1,7,1,4,1,2,6,0,0,0,1,5,20180308,13.3,2,2,,0.678663523
38,121,,1,4,1,3,0,0,1,0,0,0,2,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,3,4,3,1,1,0,1,1,1,1,0,0,0,5.0,2,,,,,,,,,,,,1.0,,,,,1,2.0,4.0,3.0,4.0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3.0,3,1.0,1.0,2.0,1.0,4,4,4,1,0.0,0.0,0.0,0.0,0.0,1.0,77,77,77,77,1,1,1,2,2,1.0,1,0,1,0,1,0,1,1,1,1,1.0,1.0,3.0,3.0,4.0,,,,,,,,,,,,,,,,1,1,1,1,2,2,4,3,4,2,0,1,1,0,0,0,0,2,1,2,3,2,2,1.0,13,11.0,2.0,2,2,11,1,2,1,2,5,0,0,0,2,3,20180308,20.21666667,2,2,,0.459764547
39,123,,2,3,1,3,0,1,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,1,1,4,2,4,1,1,0,0,1,0,1,1,1,0,5.0,1,1.0,,,,1.0,,,,,,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,2,3,2,2,3,3,3.0,3,1.0,1.0,1.0,1.0,3,4,4,4,,,,,,,2,3,2,1,1,3,1,2,2,2.0,0,0,0,0,0,1,2,1,2,2,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1,1,2,4,4,2,2,4,3,0,0,0,0,0,0,1,3,1,1,2,1,1,2.0,15,12.0,1.0,1,1,15,1,2,1,2,5,0,0,0,2,3,20180322,6.516666667,2,2,,1.274554221
40,125,,2,4,1,3,0,1,1,0,0,0,2,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,4,4,1,1,1,1,0,1,1,0,0,0,5.0,2,,,,,,,,,,,,,,,98.0,,3,3.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0,2,2,1,1,3,2,1.0,1,1.0,1.0,2.0,1.0,2,2,1,2,1.0,0.0,0.0,0.0,1.0,0.0,2,4,1,1,1,1,1,2,2,2.0,1,0,1,0,0,0,1,3,1,1,4.0,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1,1,1,2,1,2,4,4,4,2,1,0,0,0,0,0,0,4,4,2,4,1,4,1.0,13,12.0,1.0,1,1,7,1,4,1,2,3,0,0,0,1,2,20180331,7.05,2,2,,1.023853637
41,134,,1,4,4,2,0,0,0,1,1,0,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,2,1,1,2,1,2,1,1,0,1,0,1,1,0,0,0,4.0,2,,,,,,,,,,,,,1.0,,,,2,2.0,3.0,4.0,4.0,1,1,1,0,0,0,1,0,3,2,3,3,3,3,3.0,3,1.0,1.0,2.0,2.0,4,4,4,3,,,,,,,1,3,1,1,1,1,2,1,1,2.0,0,1,0,1,0,0,3,1,1,3,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,3,3,3,1,2,2,0,0,0,0,0,0,0,2,1,1,3,1,2,2.0,17,8.0,4.0,1,2,6,1,4,1,4,6,0,0,2,1,3,20180309,11.06666667,2,2,,2.039593163
42,140,,2,2,1,3,1,1,0,0,0,0,3,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,2,2,1,3,2,1,1,1,1,1,1,0,0,0,2.0,2,,,,,,,,,1.0,,,,,,,,1,2.0,2.0,1.0,2.0,1,1,1,1,0,0,1,0,1,2,1,2,3,2,2.0,2,1.0,1.0,2.0,1.0,4,3,2,2,1.0,1.0,0.0,0.0,0.0,0.0,3,4,3,3,1,1,2,2,2,1.0,1,0,1,0,1,0,2,3,2,3,2.0,1.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1,2,2,1,3,4,4,4,4,3,1,0,1,0,1,0,0,2,1,1,4,1,4,2.0,13,9.0,1.0,1,1,3,1,2,1,3,4,0,0,1,0,3,20180401,11.83333333,2,2,,1.017344939
43,143,,2,2,1,2,0,0,0,1,0,0,2,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,4,3,2,2,1,0,1,0,1,1,0,0,0,5.0,1,1.0,,,,,,,,,,,,,,,,3,2.0,3.0,2.0,4.0,1,1,1,0,0,0,0,0,2,2,1,2,3,2,2.0,3,1.0,1.0,2.0,1.0,3,4,4,2,0.0,0.0,0.0,0.0,1.0,0.0,1,3,1,4,1,1,3,1,1,1.0,0,1,0,1,1,0,1,1,1,2,2.0,3.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,2.0,3,3,3,3,4,4,1,4,1,4,1,1,1,0,1,0,0,1,1,2,4,3,1,1.0,17,12.0,3.0,1,1,9,1,4,1,4,4,0,0,0,2,2,20180317,40.0,2,2,,0.529351546
44,150,,2,1,1,3,0,0,0,0,1,0,4,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1,2,1,1,4,3,4,2,1,0,1,0,1,0,0,0,0,4.0,1,,,,,,,,,,,,,,,,99.0,2,4.0,3.0,3.0,4.0,1,0,0,0,0,0,0,0,2,2,1,2,3,3,3.0,3,1.0,1.0,2.0,1.0,3,2,3,2,1.0,0.0,0.0,1.0,0.0,0.0,1,2,2,2,3,3,2,1,2,1.0,0,1,0,0,1,0,1,1,2,4,2.0,1.0,4.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2,3,3,2,3,3,2,2,2,2,0,0,0,0,0,0,1,4,3,2,2,3,2,2.0,14,12.0,1.0,1,1,14,1,4,0,2,3,0,0,0,1,2,20180307,7.45,2,2,,1.009714138
45,151,,2,4,4,3,0,1,1,0,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,3,2,3,2,1,0,1,1,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,2,2.0,3.0,3.0,2.0,1,1,1,0,1,0,1,0,2,2,2,2,2,2,3.0,3,1.0,1.0,2.0,1.0,3,2,2,3,,,,,,,2,2,2,2,3,3,3,1,1,1.0,0,0,1,0,1,0,2,2,3,3,2.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,1,1,2,2,2,3,2,2,2,2,1,1,1,0,1,1,0,3,1,1,2,2,2,2.0,17,11.0,2.0,1,1,11,1,3,1,3,4,0,0,0,1,3,20180309,26.56666667,2,2,,0.300358313
46,153,,1,1,2,1,1,0,1,0,1,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,3,1,2,1,1,0,0,1,0,1,0,0,0,3.0,2,,,,,,,,,1.0,,,,,,,,1,2.0,1.0,2.0,2.0,0,0,1,0,1,1,0,0,1,1,2,2,2,1,2.0,1,1.0,1.0,2.0,2.0,3,2,2,2,1.0,0.0,0.0,1.0,1.0,0.0,2,3,1,3,2,1,2,1,2,2.0,0,0,1,0,1,0,1,2,2,2,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1,3,2,2,2,2,4,1,3,98,1,0,1,0,0,1,0,3,3,2,4,1,1,2.0,13,10.0,2.0,2,2,4,1,4,0,3,3,0,0,2,0,1,20180406,6.816666667,2,2,,0.255029227
47,156,,2,3,1,3,0,0,0,1,1,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,3,4,4,3,1,0,1,1,1,1,0,0,0,4.0,2,,,,,,,,1.0,,,,,,,,,4,4.0,2.0,4.0,4.0,1,0,1,0,0,0,0,0,3,3,2,3,2,2,2.0,1,1.0,2.0,1.0,2.0,4,4,4,3,,,,,,,2,3,2,2,3,3,2,1,1,1.0,1,0,0,0,0,0,2,2,1,2,3.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,2,2,1,1,4,4,4,3,4,4,0,0,0,0,0,0,1,2,1,1,4,1,3,2.0,17,13.0,1.0,1,1,18,1,2,1,4,4,2,0,0,0,2,20180322,16.96666667,2,2,,0.692093562
48,158,,1,2,2,2,0,0,0,0,1,0,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,1,1,1,4,4,4,2,1,1,1,1,1,1,0,0,0,2.0,1,1.0,,,,,,,,,,,,,,,,3,3.0,2.0,2.0,2.0,1,0,1,0,0,0,0,0,1,2,2,2,2,2,2.0,2,1.0,1.0,2.0,1.0,3,3,2,2,1.0,0.0,0.0,0.0,0.0,0.0,2,2,3,2,3,3,3,1,1,1.0,0,0,0,0,0,1,2,3,3,3,2.0,3.0,3.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2,3,2,3,4,4,4,3,4,4,0,0,1,0,0,1,0,2,1,4,4,1,1,1.0,13,12.0,1.0,1,2,13,1,4,1,2,2,0,0,0,1,1,20180309,5.55,2,2,,0.332501524
49,159,,1,3,1,2,0,1,1,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,2,2,1,4,3,4,1,1,1,1,1,1,1,0,0,0,2.0,1,,1.0,,,,,,,,,,,,,,,2,2.0,4.0,2.0,2.0,0,1,0,1,1,0,1,0,3,1,2,2,2,2,3.0,2,2.0,2.0,2.0,1.0,3,3,1,1,1.0,0.0,0.0,0.0,0.0,0.0,2,3,1,77,3,3,3,1,1,1.0,0,0,0,0,0,1,2,1,1,1,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1,1,1,1,3,4,3,2,3,3,1,0,1,0,0,1,0,3,2,2,2,2,2,1.0,17,11.0,2.0,1,2,13,1,4,1,4,6,0,1,2,2,2,20180326,11.5,2,2,,0.513404611
50,161,,1,1,4,1,0,0,0,0,0,1,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,2,1,4,4,4,3,2,0,1,1,1,1,0,0,0,4.0,1,,,,,,,,,,,,,,,,99.0,1,1.0,3.0,1.0,1.0,0,0,1,0,0,0,1,0,1,1,1,1,3,3,1.0,3,1.0,1.0,2.0,1.0,1,1,1,1,0.0,0.0,0.0,0.0,1.0,0.0,3,1,2,2,1,2,,1,1,,0,0,0,1,0,0,1,2,2,4,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3,1,2,3,3,3,3,3,3,3,0,0,0,0,0,0,1,3,3,3,3,3,3,2.0,17,9.0,1.0,4,3,6,0,4,1,3,5,0,1,0,1,3,20180401,15.15,2,2,,0.49284738
51,165,,1,4,3,3,1,1,1,0,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,1,1,4,4,4,2,1,0,0,0,0,1,0,0,0,,3,,,,,,,,,,,,,,,,,4,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3.0,3,2.0,1.0,1.0,1.0,4,4,4,4,,,,,,,1,4,1,1,1,3,3,1,1,1.0,1,1,0,0,0,0,3,2,1,1,2.0,1.0,4.0,2.0,4.0,,,,,,,,,,,,,,,,3,3,3,2,4,4,3,2,3,3,1,0,0,0,0,1,0,4,2,4,4,2,4,2.0,14,14.0,1.0,1,2,18,1,2,1,1,4,0,0,1,1,2,20180308,9.166666667,2,2,,1.092227214
52,169,,2,3,1,3,1,0,0,1,1,0,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,1,4,2,3,1,1,1,1,1,1,1,1,0,0,4.0,1,,1.0,,1.0,,,,,,,,,,,,,1,2.0,2.0,4.0,3.0,1,1,1,1,1,0,1,0,2,2,1,1,2,3,2.0,1,1.0,2.0,2.0,1.0,3,3,1,3,,,,,,,1,2,1,1,3,3,3,1,1,2.0,1,0,0,0,1,0,1,2,1,2,2.0,1.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,2,2,1,2,2,4,4,2,2,1,0,0,0,0,1,1,0,1,1,1,4,1,3,2.0,16,13.0,1.0,3,2,10,1,4,1,4,3,1,0,1,0,1,20180308,21.13333333,2,2,,0.575492584
53,177,,1,3,1,3,0,0,1,0,0,0,2,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,0,0,1,0,0,0,5.0,2,,,,,,,,,,,1.0,,,,,,3,3.0,2.0,3.0,3.0,1,0,1,0,0,0,0,0,1,1,1,2,3,3,3.0,3,1.0,1.0,2.0,1.0,3,3,4,2,1.0,0.0,0.0,0.0,1.0,0.0,2,3,3,2,1,3,3,2,1,1.0,1,0,0,0,0,0,2,2,1,3,2.0,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,1,2,1,1,3,3,2,2,2,3,0,0,0,0,0,0,1,3,3,4,2,3,2,2.0,14,10.0,1.0,4,2,9,1,1,1,3,5,0,1,1,1,2,20180407,6.866666667,2,2,,0.881125189
54,180,,2,2,2,3,0,0,0,0,0,1,2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,1,3,2,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,4,4.0,4.0,3.0,4.0,1,1,1,0,0,0,0,0,2,1,2,3,2,3,3.0,3,1.0,1.0,2.0,2.0,2,4,4,3,,,,,,,2,3,1,2,3,3,3,2,2,2.0,0,0,0,0,0,1,2,1,1,3,4.0,4.0,4.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2,3,2,2,4,2,2,2,3,2,1,1,0,0,0,0,0,1,4,3,4,3,2,1.0,13,12.0,4.0,3,2,9,1,4,1,3,4,0,0,1,1,2,20180407,19.1,2,2,,0.018958741
55,182,,1,2,2,3,0,0,0,1,1,0,4,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,2,1,1,1,0,1,1,0,0,0,2.0,3,,,,,,,,,,,,,,,,,3,4.0,2.0,2.0,4.0,1,1,1,0,0,1,1,0,2,1,2,2,3,3,3.0,2,1.0,1.0,2.0,1.0,4,4,4,3,,,,,,,2,3,2,2,3,3,2,1,1,1.0,0,0,0,1,0,0,1,1,2,3,2.0,1.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,2,0,0,0,0,0,0,1,3,2,2,3,2,2,2.0,17,9.0,2.0,1,2,7,1,4,1,2,3,0,0,0,1,2,20180307,15.78333333,2,2,,1.23724408
56,192,,1,4,1,3,0,0,1,0,1,0,2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1,2,1,1,4,3,4,1,1,1,1,0,1,1,1,0,0,5.0,2,,,,,,,,,,,,1.0,,,,,4,4.0,4.0,2.0,4.0,0,0,0,0,0,0,0,1,3,2,2,3,3,3,3.0,2,1.0,1.0,2.0,1.0,2,2,4,3,,,,,,,1,2,1,1,1,1,3,1,1,1.0,0,0,0,0,0,1,2,2,1,4,2.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,2,1,1,1,2,4,4,3,4,4,0,0,0,0,0,0,1,3,1,1,4,1,2,1.0,13,12.0,1.0,1,2,11,1,4,1,3,5,0,0,2,1,2,20180330,10.76666667,2,2,,1.198322418
57,193,,2,3,1,3,0,1,0,0,1,0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,2,1,2,4,1,3,1,1,0,1,0,1,1,0,1,0,5.0,1,1.0,,,,,,,,,,,,,,,,4,2.0,3.0,2.0,4.0,1,0,0,0,1,0,1,0,1,1,1,1,1,3,2.0,3,1.0,2.0,2.0,1.0,3,3,4,2,1.0,0.0,0.0,0.0,1.0,0.0,2,3,1,1,1,3,1,2,2,1.0,1,0,0,1,0,0,1,1,1,2,2.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,2,1,1,2,2,4,4,2,4,1,0,0,0,0,0,0,1,1,2,3,3,1,2,1.0,16,13.0,2.0,1,1,11,1,4,1,2,2,0,0,0,1,1,20180315,15.96666667,2,2,,0.355629639
58,205,,1,2,1,3,0,0,1,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,1,1,4,4,4,1,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,4,4.0,4.0,4.0,4.0,1,0,1,0,0,0,0,0,3,3,3,3,3,3,3.0,3,1.0,1.0,1.0,2.0,3,3,3,3,,,,,,,77,77,77,77,1,3,1,2,1,2.0,0,0,0,0,0,1,2,1,1,2,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,2,2,2,2,2,1,1,4,4,3,0,0,1,0,1,1,0,4,1,4,3,1,2,1.0,17,11.0,1.0,1,1,11,1,2,1,2,5,0,0,1,1,3,20180316,9.016666667,2,2,,2.121439544
60,213,,2,1,1,3,0,1,0,0,0,0,2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,2,2,1,2,3,1,1,1,1,1,1,1,1,0,0,0,4.0,3,,,,,,,,,,,,,,,,,1,1.0,2.0,3.0,2.0,1,0,1,0,0,0,1,0,1,1,1,1,3,2,2.0,2,1.0,1.0,2.0,1.0,3,2,1,2,1.0,1.0,0.0,0.0,0.0,0.0,2,3,2,2,1,3,2,1,1,2.0,1,0,1,0,0,0,2,3,2,2,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,3.0,2.0,1,2,2,2,3,4,3,2,3,3,1,0,1,0,1,0,0,2,1,1,2,1,2,2.0,15,9.0,1.0,2,2,4,0,4,1,2,4,0,0,1,1,2,20180309,9.5,2,2,,0.25949829
61,215,,1,1,2,3,1,1,0,0,1,0,2,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,4,2,3,1,1,0,0,1,1,1,0,0,0,3.0,3,,,,,,,,,,,,,,,,,2,3.0,3.0,3.0,4.0,1,1,1,0,0,0,0,0,2,2,2,2,3,2,3.0,3,1.0,1.0,2.0,1.0,2,3,4,1,1.0,1.0,0.0,1.0,1.0,0.0,2,2,2,2,1,1,3,1,1,2.0,1,0,1,0,0,0,2,1,1,3,3.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,2.0,2.0,1.0,1,1,1,1,2,3,2,2,2,2,1,1,1,0,1,0,0,4,3,3,3,2,3,2.0,14,11.0,4.0,1,1,9,1,4,1,4,5,1,1,1,0,2,20180325,11.9,2,2,,0.537359715
62,226,,2,4,1,2,0,0,0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2,1,1,4,4,4,1,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,3,4.0,4.0,3.0,4.0,0,0,0,0,0,0,0,1,2,1,2,2,3,2,3.0,3,2.0,2.0,2.0,2.0,3,4,4,4,,,,,,,77,77,77,77,1,1,3,2,2,2.0,1,0,0,0,0,0,2,4,1,2,1.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,3.0,3.0,1,1,2,2,4,3,4,1,2,3,0,0,0,0,0,0,1,1,1,4,4,3,1,2.0,14,12.0,4.0,1,1,15,1,4,1,4,4,0,0,0,1,3,20180324,8.633333333,2,2,,0.275318179
63,239,,1,3,2,2,0,0,1,0,1,0,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,1,1,4,4,4,1,1,0,1,1,1,1,0,0,0,5.0,1,,,,,,1.0,,,,,,,,,,,1,2.0,2.0,4.0,4.0,1,0,0,0,0,0,0,0,2,3,2,2,3,3,3.0,3,1.0,1.0,1.0,1.0,2,2,3,4,,,,,,,2,3,2,1,3,2,3,2,1,1.0,0,0,1,0,0,0,1,2,3,3,3.0,2.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1,1,2,2,3,3,2,2,2,3,0,0,0,0,0,0,1,1,1,1,3,1,1,1.0,13,9.0,4.0,2,1,11,1,4,1,3,6,0,1,0,2,4,20180308,23.68333333,2,2,,1.976220584
64,250,,1,2,1,2,0,0,1,0,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,3,1,1,0,0,1,0,0,0,0,0,,3,,,,,,,,,,,,,,,,,1,2.0,2.0,2.0,2.0,0,1,1,0,0,0,1,0,2,1,2,2,3,2,3.0,2,1.0,1.0,2.0,1.0,3,1,1,3,,,,,,,3,3,2,2,1,1,1,2,1,1.0,1,0,0,0,0,0,1,1,2,2,2.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1,1,1,1,98,3,2,2,3,3,1,1,1,1,1,1,0,1,1,1,3,1,1,2.0,16,9.0,2.0,1,2,7,1,2,1,2,6,0,1,1,2,3,20180308,54.8,2,2,,0.266822603
65,251,,1,2,2,3,0,1,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,4,1,3,4,1,0,1,0,1,1,0,0,0,5.0,3,,,,,,,,,,,,,,,,,3,2.0,3.0,2.0,3.0,1,0,1,0,0,0,0,0,3,2,3,2,3,3,3.0,3,1.0,1.0,2.0,1.0,4,4,4,2,1.0,1.0,0.0,0.0,0.0,0.0,1,3,3,3,3,3,3,2,1,1.0,0,1,0,0,0,0,1,1,1,2,2.0,3.0,3.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,1,1,1,2,4,4,3,1,3,4,1,0,1,0,0,1,0,3,1,4,4,2,1,1.0,13,13.0,2.0,1,3,6,1,3,1,3,5,1,0,1,0,3,20180313,18.4,1,1,,0.264663179
